Category Name	SUPC	Total
BANCHAN	7250944	96
BANCHAN	7250945	
BANCHAN	7250986	
BANCHAN	7250987	
BANCHAN	7252663	
BANCHAN	7252664	
BANCHAN	7252668	
BANCHAN	7266485	
BANCHAN	7266494	
BANCHAN	7266496	
BANCHAN	7267141	
BANCHAN	7267416	
BEEF	7250537	
BEEF	7250539	
BEEF	7250540	
BEEF	7250542	
BEEF	7250546	
BEEF	7250548	
BEEF	7250763	
BEEF	7298658	
BEEF	7298670	
BEEF	7298675	
BEEF	7394519	
BEEF	7417676	
BEEF	7416120	
BEEF	7309188	
BEVERAGE	4745693	
BEVERAGE	4814343	
BEVERAGE	5733890	
BEVERAGE	7119606	
BEVERAGE	7250979	
BEVERAGE	7697248	
CHICKEN	7250556	
CHICKEN	7250562	
CHICKEN	7250573	
CHICKEN	7298578	
CHICKEN	7356242	
CHICKEN	7250561	
OTHERS	7257341	
OTHERS	7286268	
OTHERS	7281351	
OTHERS	7352671	
OTHERS	7362677	
OTHERS	7362678	
OTHERS	7365046	
PORK	7250728	
PORK	7250729	
PORK	7250735	
PORK	7250738	
PORK	7250739	
PORK	7250747	
PORK	7250750	
PORK	7253419	
PORK	7253427	
PORK	7281408	
PORK	7281409	
PORK	7298737	
PORK	7250727	
PRODUCE	2219095	
PRODUCE	2454450	
PRODUCE	2593440	
PRODUCE	7010380	
PRODUCE	7247337	
PRODUCE	8233710	
PRODUCE	8815086	
PRODUCE	8864191	
PRODUCE	7010379	
PRODUCE	2036481	
PRODUCE	6806345	
PRODUCE	6359673	
PRODUCE	7362968	
SAUCE	3452393	
SAUCE	3452816	
SAUCE	7250948	
SAUCE	7250950	
SAUCE	7250951	
SAUCE	7250956	
SAUCE	7250957	
SAUCE	7250980	
SAUCE	7252662	
SAUCE	7252666	
SAUCE	7259521	
SAUCE	7266525	
SAUCE	7775069	
SAUCE	7250953	
SAUCE	7389531	
SEAFOOD	7253415	
SEAFOOD	7253423	
SEAFOOD	7253513	
SEAFOOD	7267444	
SEAFOOD	7339079	
SEAFOOD	7373515	
SEAFOOD	7373527	
BEEF	7250544	
BEEF	7298746	
BEEF	7307737	
